Model,MSE,MAE,R2
LinearRegression,15555.318371054229,24.1059770728758,0.9698787714456558
RandomForestRegressor,20224.788048367034,28.273276444107484,0.9608368373609351
XGBRegressor,19015.312446532433,26.10494416588029,0.9631788589232552
